Method,Median,IQR,Mean,StdDev,Min,Max,Outlier_Threshold,Statistical_Outlier_Count,Divergence_Count,Total_Flagged_Cases
EKF,0.114047081141738,0.010356799810373934,0.11300192173420599,0.00839028142017478,0.09644956705877065,0.1350362064715999,0.1451174805728598,0,3,3
AEKF,0.1180238822399412,0.010590652230389838,0.11831705333174809,0.006527973144192206,0.10649100401376636,0.13583491034444106,0.1497958389311107,0,0,0
UKF,0.10347896193913952,0.0032415375517075573,0.1033717429318321,0.0023482553356841736,0.0979684186709864,0.10705430534231682,0.1132035745942622,0,0,0
