Seed,gnss_rmse,odom_rmse,ekf_rmse,aekf_rmse,ukf_rmse
1,8.834754467270114,11.696958372309437,0.1820407732092356,0.15460632731718899,0.20953646253502742
2,8.551567913160179,11.505990616928932,0.17964077488322575,0.1574762864884188,0.20121030862976616
3,8.617570702709713,11.27002697944011,0.16152695312202736,0.1496424655594066,0.20674706019135278
4,8.809901206961461,11.507950674688784,0.17123445973058662,0.18068912874504578,0.21330744911927518
5,8.696710888495833,11.181180328227162,144.64466412910062,0.1613405916002317,0.2170038753709628
6,8.710604167814873,11.66363712494789,0.15195745478487815,0.14963998705546103,0.19152330309248178
7,8.727729031714189,11.525563551653795,0.14817534695911547,0.1500684870472738,0.19494676535043753
8,8.417187923123771,11.299351409885814,0.15219070360240605,0.16277484764892713,0.19875676977317755
9,8.662719539169743,11.981931086822376,0.17754770645253218,0.1721338304669064,0.20800989043276838
10,8.66955341837089,11.57107669326527,0.15852362888056182,0.15349647748981532,0.20159570841595226
11,8.610195157588615,12.137377819700431,0.15955349641467356,0.15007857857772017,0.1844781086293387
12,9.082489170713092,11.06123801091643,254.8441788794372,0.1579535793357046,0.19898326734199803
13,9.044188352085252,11.661881396758394,0.19199962931786058,0.15729675846791924,0.21040615915126482
14,8.927128945884457,11.884986458826097,0.1763565046459065,0.14673313782421057,0.20013416676886414
15,8.588130182887967,11.263901655208938,0.1593211963889658,0.1580830448119027,0.20031050583917545
16,8.43536146200503,11.356416932742784,0.1574277003442423,0.14896801788611197,0.19979527861695387
17,8.489408068463925,11.904442571309097,0.17358225957927054,0.16423048487251127,0.2036311626102464
18,8.537590964579488,11.57171628712396,0.17091930182886442,0.15864555687258666,0.2120560015405508
19,8.500890651513407,11.531871751188815,0.16860238859966756,0.1481634240998808,0.1917111880912963
20,8.880813872373018,11.642786141990808,0.16028945082346943,0.1535863568778587,0.18883801089084137
21,8.619474066192424,12.08450557132298,0.15363413889378844,0.1470959447110869,0.19160498868897557
22,8.713934532905087,10.684815946118029,0.16526129525275557,0.15770075363180058,0.2062155921908331
23,8.398834391096312,12.301267894818489,0.1696396334385773,0.15931608950310427,0.20677283017740247
24,8.599145928998771,11.18986682538603,69.70330755684796,0.15032065133961964,0.19688122431964167
25,8.874347892989567,11.555119058668678,0.186490916871801,0.16138694814553664,0.20600291841715276
26,8.05179304088512,12.142565422609724,0.17387625253891498,0.1586830709627101,0.20581958569929565
27,9.025766329834454,12.640511190709748,0.1937237485283712,0.14805058691691317,0.2024074494841283
28,8.322583132966258,11.538900036910158,0.17667285226939164,0.15735896331469965,0.20288525541292063
29,8.69106758118932,11.856930562622985,0.16341611675455148,0.14669277461122157,0.19719273536469628
30,8.661519546782804,11.613729085025556,0.15246626644036446,0.14170745594960732,0.18357713014465554
