Metric,Classical_EKF,Adaptive_EKF,UKF,Improvement_Percentage_AEKF_vs_EKF
Position_RMSE_m,0.22205937656305522,0.15561287885003167,0.19011821641904386,29.92285160007897
Position_MAE_m,0.14319751242883053,0.12226713181477361,0.14183092494408633,
Max_Position_Error_m,1.8882206434732438,0.6607831864496366,0.7946950670798472,
Heading_RMSE_deg,1.8037516083260412,0.36270345958080963,0.3630362531757833,
Stop_Zone_RMSE_m,0.11904462218977947,0.11622287866195316,0.12919739736211872,2.3703242329820857
Stop_Lateral_RMSE_m,0.08592739120099567,0.08802055590650164,0.08682454538412843,
Stop_Longitudinal_RMSE_m,0.08238996002971716,0.07589558130999136,0.09567374668102333,
Corridor_Departure_Rate_pct,2.357142857142857,0.2142857142857143,1.2857142857142856,
