Method,Median,IQR,Mean,StdDev,Min,Max,Outlier_Threshold,Outlier_Count
EKF,0.17027946763372087,0.01973823638015962,15.790940717198056,52.67710993281784,0.14817534695911547,254.8441788794372,0.22949417677419973,3
AEKF,0.1559515428925541,0.009033085758731824,0.15546402027104603,0.007962166498295007,0.14170745594960732,0.18068912874504578,0.18305080016874958,0
UKF,0.2014030085228592,0.009655091110317537,0.20107803840971442,0.008090082679254967,0.18357713014465554,0.2170038753709628,0.2303682818538118,0
